affiliatename,countryoforiginname,countryoforigincode,profilepics3key,firstname,lastname,competitorname,division,status,gender,height,affiliateid,weight,bibid,competitorid,age,overallrank,overallscore,Number of Records,ordinal,breakdown,lane,rank,heat,points,scoredisplay,time,workoutrank
Training PIT CrossFit,Costa Rica,CR,ab1de-P781908_2-184.jpg,William,Sanchez,William Sanchez,Men,CUT,M,1.74,44751,83,164,781908,28,119,-44,1,1,-44 pts,43,119,2,-44,CAP+30,CAP+30,119
CrossFit Hammersmith,Barbados,BB,ebd25-P352604_3-184.jpg,Richy,Jordan,Richy Jordan,Men,CUT,M,1.55,44760,86.2,214,352604,30,120,-45,1,1,-45 pts,42,120,1,-45,CAP+30,CAP+30,120
CrossFit Florentin,Israel,IL,5fbd6-P327773_1-184.jpg,Yuval,Regev,Yuval Regev,Men,CUT,M,1.8,44687,72.1,151,327773,31,121,-46,1,1,-46 pts,17,121,2,-46,CAP+30,CAP+30,121
CrossFit TANKA,Algeria,DZ,8d246-P848265_2-184.jpg,Chaker,Alouni,Chaker Alouni,Men,CUT,M,1.56,44651,86.2,202,848265,30,122,-47,1,1,-47 pts,15,122,1,-47,CAP+30,CAP+30,122
,Qatar,QA,c51e2-P235246_1-184.jpg,Khalid,Alhamadi,Khalid Alhamadi,Men,CUT,M,1.8,,81.2,225,235246,30,123,-48,1,1,-48 pts,46,123,1,-48,CAP+30,CAP+30,123
,Malta,MT,c251c-P644351_2-184.jpg,Daryl,Borg,Daryl Borg,Men,CUT,M,1.74,,79.8,212,644351,32,124,-49,1,1,-49 pts,41,124,1,-49,CAP+30,CAP+30,124
CrossFit AKA,Iraq,IQ,pukie.png,Mustafa,El-Lari,Mustafa El-Lari,Men,CUT,M,1.55,44757,83.9,223,54259,29,125,-50,1,1,-50 pts,6,125,1,-50,CAP+31,CAP+31,125
CrossFit Limassol,Cyprus,CY,ba829-P296529_2-184.jpg,Achilleas,Pantazis,Achilleas Pantazis,Men,CUT,M,1.8,44668,90.7,169,296529,28,126,-51,1,1,-51 pts,6,126,2,-51,CAP+31,CAP+31,126
Casa CrossFit Anfa,Senegal,SN,ebdc1-P1523543_1-184.jpg,Mody,Traore,Mody Traore,Men,CUT,M,1.77,44750,76.2,229,1523543,39,127,-52,1,1,-52 pts,48,127,1,-52,CAP+33,CAP+33,127
Reebok CrossFit Officine,Italy,IT,96329-P544958_1-184.jpg,Stefano,Migliorini,Stefano Migliorini,Men,CUT,M,1.77,44704,82.1,140,544958,30,128,-53,1,1,-53 pts,24,128,2,-53,CAP+40,CAP+40,128
CrossFit Gaborone,Botswana,BW,2b559-P1223806_1-184.jpg,Katlego,Kgwadi,Katlego Kgwadi,Men,CUT,M,1.74,44749,66.2,231,1223806,31,129,-54,1,1,-54 pts,49,129,1,-54,CAP+40,CAP+40,129
CrossFit 414,Saint Lucia,LC,d3a99-P574502_1-184.jpg,Heskeith,Flavien,Heskeith Flavien,Men,CUT,M,1.74,44691,81.6,226,574502,38,130,-55,1,1,-55 pts,5,130,1,-55,CAP+40,CAP+40,130
,Mozambique,MZ,6d0fa-P851037_1-184.jpg,Pack,Santos,Pack Santos,Men,CUT,M,1.8,,72.1,233,851037,29,131,-56,1,1,-56 pts,50,131,1,-56,CAP+40,CAP+40,131
CrossFit Yiqi,Cambodia,KH,137ce-P555634_2-184.jpg,Kobe,Khy,Kobe Khy,Men,CUT,M,1.74,44649,72.1,222,555634,31,132,-57,1,1,-57 pts,45,132,1,-57,CAP+40,CAP+40,132
CrossFit MalmÃ¶,Afghanistan,AF,fe3b0-P1306552_1-184.jpg,Sami,Salampur,Sami Salampur,Men,CUT,M,1.8,44705,69.9,227,1306552,30,133,-58,1,1,-58 pts,47,133,1,-58,CAP+40,CAP+40,133
CrossFit FE,Nicaragua,NI,fc318-P1122311_1-184.jpg,Arturocesar,Mora,Arturocesar Mora,Men,CUT,M,1.77,44761,83.9,193,1122311,21,134T,-59,1,1,-59 pts,32,134T,1,-59,CAP+41 ,CAP+41,134T
CrossFit BNB,Pakistan,PK,ec202-P457993_3-184.jpg,Bilal,Tariq,Bilal Tariq,Men,CUT,M,1.71,44683,66.2,216,457993,31,134T,-59,1,1,-59 pts,43,134T,1,-59,CAP+41 ,CAP+41,134T
CrossFit 7 Seas,India,IN,fa3de-P253911_1-184.jpg,Vedharth,Thappa,Vedharth Thappa,Men,CUT,M,1.8,44680,84.8,192,253911,25,134T,-59,1,1,-59 pts,20,134T,1,-59,CAP+41 ,CAP+41,134T
CrossFit Mobilus,Singapore,SG,ea942-P425160_3-184.jpg,Ian,Wee,Ian Wee,Men,CUT,M,1.68,44712,70.8,199,425160,24,134T,-59,1,1,-59 pts,35,134T,1,-59,CAP+41 ,CAP+41,134T
Hudson River CrossFit (departed),Bolivia,BO,cde95-P199533_10-184.jpg,J. Rodrigo,Agreda,J. Rodrigo Agreda,Men,CUT,M,1.8,44645,86.2,184,199533,26,138T,-63,1,1,-63 pts,24,138T,1,-63,CAP+42 ,CAP+42,138T
CrossFit Ceylon,Sri Lanka,LK,5c4d9-P96918_4-184.jpg,Andy,Andrews,Andy Andrews,Men,CUT,M,1.71,44728,73.5,221,96918,30,138T,-63,1,1,-63 pts,7,138T,1,-63,CAP+42 ,CAP+42,138T
La Borda CrossFit,Andorra,AD,03216-P464588_6-184.jpg,Enric,Closa,Enric Closa,Men,CUT,M,1.74,44721,86.2,190,464588,32,138T,-63,1,1,-63 pts,21,138T,1,-63,CAP+42 ,CAP+42,138T
CrossFit Port Moresby,Papua New Guinea,PG,56d6c-P1095623_1-184.jpg,Kila,Kilaverave,Kila Kilaverave,Men,CUT,M,1.74,44975,69.9,234,1095623,38,138T,-63,1,1,-63 pts,1,138T,1,-63,CAP+42 ,CAP+42,138T
AllSport CrossFit,Viet Nam,VN,pukie.png,Keith,Nhan,Keith Nhan,Men,CUT,M,1.65,44711,63.5,228,839047,31,138T,-63,1,1,-63 pts,4,138T,1,-63,CAP+42 ,CAP+42,138T
CrossFit ReykjavÃ­k,Denmark,DK,ef40c-P18543_11-184.jpg,Frederik,Aegidius,Frederik Aegidius,Men,CUT,M,1.8,44767,83.9,127,18543,32,143T,,1,1,0,34,CUT,3,0,0,0,CUT
CrossFit Tempo,Oman,OM,pukie.png,Aslam,Al Shukaili,Aslam Al Shukaili,Men,WD,M,1.55,44738,91.2,218,1382942,27,143T,,1,1,0,8,WD,1,0,0,0,WD
CrossFit 061,United States,US,ea7a9-P5312_7-184.jpg,Nicholas,Urankar,Nicholas Urankar,Men (35-39),ACT,X,1.55,44852,87.1,351,5312,35,1,650,1,1,100 pts,15,1,1,100,0.001881366,0.001881366,1
CrossFit Rage,United States,US,4baa9-P4895_11-184.jpg,Jordan,Troyan,Jordan Troyan,Men (35-39),ACT,X,1.55,44880,83.9,359,4895,35,2,600,1,1,70 pts,11,4,1,70,0.001918519,0.001918519,4
CrossFit Akureyri,Iceland,IS,2d586-P125959_2-184.jpg,SigurÃ°ur,Ãžrastarson,SigurÃ°ur Ãžrastarson,Men (35-39),ACT,X,1.55,44875,91.2,357,125959,35,3,580,1,1,20 pts,12,9,1,20,0.00214537,0.00214537,9
CrossFit Saintes,France,FR,b6110-P164390_8-184.jpg,Alexandre,Jolivet,Alexandre Jolivet,Men (35-39),ACT,X,1.77,44925,91.6,355,164390,39,4,560,1,1,80 pts,13,3,1,80,0.001907755,0.001907755,3
CrossFit RDL,Canada,CA,83144-P255163_3-184.jpg,Michael,Laverriere,Michael Laverriere,Men (35-39),ACT,X,0.15,44842,88.5,356,255163,37,5,500,1,1,90 pts,18,2,1,90,0.001893287,0.001893287,2
CrossFit ReykjavÃ­k,Iceland,IS,2bf12-P112137_4-184.jpg,Stefan Helgi,Einarsson,Stefan Helgi Einarsson,Men (35-39),ACT,X,1.55,44767,82.1,358,112137,36,6,400,1,1,30 pts,19,8,1,30,0.002031134,0.002031134,8
CrossFit Duratus,United States,US,pukie.png,Kevin,Longmeier,Kevin Longmeier,Men (35-39),ACT,X,1.55,44906,88.5,354,59012,37,7,400,1,1,60 pts,17,5,1,60,0.001935995,0.001935995,5
Sumner CrossFit,United States,US,25a32-P100797_5-184.jpg,Mike,Abgarian,Mike Abgarian,Men (35-39),ACT,X,1.65,44946,70.3,360,100797,35,8,380,1,1,50 pts,20,6,1,50,0.001956019,0.001956019,6
CrossFit MalmÃ¶,Sweden,SE,pukie.png,David Santa Cruz,Borgstrand,David Santa Cruz Borgstrand,Men (35-39),ACT,X,1.56,44705,91.2,352,1433136,37,9,280,1,1,40 pts,16,7,1,40,0.001978472,0.001978472,7
CrossFit Kinesis,United States,US,2c797-P25569_11-184.jpg,Kyle,Kasperbauer,Kyle Kasperbauer,Men (35-39),WD,X,1.77,44936,86.2,353,25569,37,10,,1,1,0,14,WD,1,0,0,0,WD
5280 CrossFit,United States,US,dd30b-P532455_5-184.jpg,Jason,Grubb,Jason Grubb,Men (40-44),ACT,X,1.77,44930,86.2,407,532455,43,1,640,1,1,30 pts,12,8,1,30,0.002056134,0.002056134,8
In2 CrossFit Farnham,United Kingdom,GB,pukie.png,Richard,Vint,Richard Vint,Men (40-44),ACT,X,1.55,44904,90.7,410,318213,40,2,510,1,1,100 pts,20,1,1,100,0.001918287,0.001918287,1
Fort to Fort CrossFit,Canada,CA,d03cb-P252855_3-184.jpg,Robbie,Perovich,Robbie Perovich,Men (40-44),ACT,X,1.86,44887,90.7,403,252855,42,3,510,1,1,70 pts,14,4,1,70,0.002012731,0.002012731,4
Injustice CrossFit,Australia,AU,d1f82-P278759_9-184.jpg,Caine,Hayes,Caine Hayes,Men (40-44),ACT,X,1.95,44866,98,409,278759,40,4,450,1,1,90 pts,11,2,1,90,0.001976273,0.001976273,2
CrossFit Invictus,United States,US,66145-P29109_2-184.jpg,Nuno,Costa,Nuno Costa,Men (40-44),ACT,X,1.8,44591,77.1,405,29109,40,5,420,1,1,10 pts,13,10,1,10,0.002129977,0.002129977,10
CrossFit Algoa,South Africa,ZA,a068c-P8743_11-184.jpg,David,Levey,David Levey,Men (40-44),ACT,X,1.55,44929,91.2,404,8743,41,6,420,1,1,50 pts,17,6,1,50,0.002036921,0.002036921,6
CrossFit Southie,United States,US,30985-P167005_20-184.jpg,Brian,Campbell,Brian Campbell,Men (40-44),ACT,X,1.56,44816,85.3,406,167005,41,7,400,1,1,80 pts,18,3,1,80,0.002006597,0.002006597,3
CrossFit SPT,United States,US,91820-P171764_1-184.jpg,Heath,Moody,Heath Moody,Men (40-44),ACT,X,1.86,44923,94.3,402,171764,40,8,390,1,1,20 pts,16,9,1,20,0.002105787,0.002105787,9
CrossFit PR Star,United States,US,c242d-P168610_2-184.jpg,Tony,Kurz,Tony Kurz,Men (40-44),ACT,X,1.55,44820,94.8,401,168610,40,9,380,1,1,60 pts,15,5,1,60,0.002017477,0.002017477,5
Superhero CrossFit,United States,US,ccef6-P86878_3-184.jpg,Chris,Anderson,Chris Anderson,Men (40-44),ACT,X,1.8,44848,72.6,408,86878,41,10,370,1,1,40 pts,19,7,1,40,0.002050579,0.002050579,7
Renewed Strength CrossFit,United States,US,c37a9-P631875_1-184.jpg,Joel,Hughes,Joel Hughes,Men (45-49),ACT,X,1.74,44861,78.5,458,631875,45,1,740,1,1,100 pts,19,1,1,100,0.002010069,0.002010069,1
CrossFit Garwood,United States,US,483b3-P116627_7-184.jpg,Justin,Lasala,Justin Lasala,Men (45-49),ACT,X,1.74,44829,83.9,451,116627,45,2,640,1,1,60 pts,15,5,1,60,0.002153472,0.002153472,5
CrossFit Galvanize,United States,US,81f74-P26902_4-184.jpg,Chad,Augustin,Chad Augustin,Men (45-49),ACT,X,1.74,44836,77.6,454,26902,45,3,520,1,1,90 pts,17,2,1,90,0.002078819,0.002078819,2
CrossFit San Benedetto del Tronto,Italy,IT,0df8d-P95809_2-184.jpg,Bernard,Luzi,Bernard Luzi,Men (45-49),ACT,X,1.74,44879,79.8,456,95809,48,4,510,1,1,20 pts,18,9,1,20,0.002252315,0.002252315,9
CrossFit Florian,United States,US,54cbf-P112592_2-184.jpg,Clint,Paddock,Clint Paddock,Men (45-49),ACT,X,1.55,44885,83.9,457,112592,47,5,410,1,1,30 pts,12,8,1,30,0.002235301,0.002235301,8
CrossFit 215,United States,US,af4ad-P17714_3-184.jpg,Mike,Rando,Mike Rando,Men (45-49),ACT,X,1.77,44858,81.6,452,17714,45,6,400,1,1,40 pts,16,7,1,40,0.002183681,0.002183681,7
CrossFit Chomp City,United States,US,cd057-P76101_6-184.jpg,Bob,Ruano,Bob Ruano,Men (45-49),ACT,X,1.68,44915,74.8,453,76101,49,7,390,1,1,70 pts,14,4,1,70,0.002133102,0.002133102,4
CrossFit Teramo,Italy,IT,0b1b2-P278581_1-184.jpg,Giulio,Silvino,Giulio Silvino,Men (45-49),ACT,X,1.8,44822,81.2,460,278581,46,8,270,1,1,50 pts,20,6,1,50,0.002168287,0.002168287,6
Offshore CrossFit,United States,US,a07ae-P110150_4-184.jpg,Bob,Jennings,Bob Jennings,Men (45-49),ACT,X,1.56,44818,83.9,455,110150,46,9,210,1,1,10 pts,13,10,1,10,0.002280093,0.002280093,10
CrossFit Mayhem,United States,US,99efa-P13342_1-184.jpg,Bruce,Thomas,Bruce Thomas,Men (45-49),WD,X,1.71,44632,79.4,459,13342,46,10,350,1,1,80 pts,11,3,1,80,0.002094213,0.002094213,3
Kirkland CrossFit,United States,US,d8676-P721301_2-184.jpg,Kevin,Koester,Kevin Koester,Men (50-54),ACT,X,1.77,44870,77.1,502,721301,52,1,630,1,1,100 pts,16,1,1,100,0.002025116,0.002025116,1
,United States,US,761d1-P297488_2-184.jpg,Gregg,Geerdes,Gregg Geerdes,Men (50-54),ACT,X,1.83,,86.2,501,297488,50,2,620,1,1,20 pts,15,9,1,20,0.002339005,0.002339005,9
CrossFit Dark Side,United States,US,57144-P33259_4-184.jpg,Vic,McQuaide,Vic McQuaide,Men (50-54),ACT,X,1.56,44819,85.3,503,33259,50,3,590,1,1,80 pts,14,3,1,80,0.002229398,0.002229398,3
CrossFit Commence,United States,US,a6cc1-P153858_6-184.jpg,Jody,Hendrix,Jody Hendrix,Men (50-54),ACT,X,1.55,44833,83.9,506,153858,51,4,520,1,1,60 pts,18,5,1,60,0.002230671,0.002230671,5
CrossFit Canal,Brazil,BR,bc35b-P825700_2-184.jpg,Leonardo Wernersbach,Lima,Leonardo Wernersbach Lima,Men (50-54),ACT,X,1.8,44855,84.8,504,825700,52,5,500,1,1,90 pts,17,2,1,90,0.002148958,0.002148958,2
Blitz CrossFit,United Kingdom,GB,24864-P519096_1-184.jpg,Patrick,Murray,Patrick Murray,Men (50-54),ACT,X,1.77,44777,86.2,508,519096,52,6,490,1,1,40 pts,19,7,1,40,0.002325463,0.002325463,7
CrossFit Huntsville,United States,US,9c17a-P121517_8-184.jpg,Paul,McCrary,Paul McCrary,Men (50-54),ACT,X,1.86,44831,90.7,505,121517,54,7,350,1,1,30 pts,13,8,1,30,0.002334491,0.002334491,8
Warlock CrossFit,United States,US,f9942-P50856_7-184.jpg,Charles,Russo,Charles Russo,Men (50-54),ACT,X,1.68,44878,72.1,507,50856,50,8,320,1,1,70 pts,12,4,1,70,0.00222963,0.00222963,4
